TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200401010000,200401010030,-9999.0,3,0.0,0.664,-11.91,0.20544,0.969795,0.000978,0.0,0.0,-9999.0,1.188,-9999.0
200401010030,200401010100,-9999.0,3,0.0,0.664,-11.91,0.20544,0.96044,0.000978,0.0,0.0,-9999.0,1.188,-9999.0
200401010100,200401010130,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.188,-9999.0
200401010130,200401010200,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.189,-9999.0
200401010200,200401010230,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.189,-9999.0
200401010230,200401010300,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.189,-9999.0
200401010300,200401010330,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.19,-9999.0
200401010330,200401010400,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.19,-9999.0
200401010400,200401010430,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.19,-9999.0
200401010430,200401010500,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.191,-9999.0
200401010500,200401010530,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.191,-9999.0
200401010530,200401010600,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.191,-9999.0
200401010600,200401010630,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.192,-9999.0
200401010630,200401010700,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.192,-9999.0
200401010700,200401010730,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.193,-9999.0
200401010730,200401010800,-9999.0,3,0.0,0.64,-1.571,0.408338,1.26434,0.003294,0.0,1.40619,-9999.0,1.259,-9999.0
200401010800,200401010830,-9999.0,3,5.615,0.694,-1.337,0.426759,1.60009,0.003562,0.488315,67.6662,-9999.0,1.255,-9999.0
200401010830,200401010900,-9999.0,3,13.532,0.694,-1.337,0.445655,1.61898,0.003845,1.11795,163.086,-9999.0,1.251,-9999.0
200401010900,200401010930,-9999.0,3,35.963,0.92,0.687,0.464972,1.6383,0.004145,2.60223,248.764,-9999.0,1.25,-9999.0
200401010930,200401011000,-9999.0,3,46.738,0.813,-2.411,0.489263,2.18859,0.004535,3.19156,323.235,-9999.0,1.244,-9999.0
200401011000,200401011030,-9999.0,3,55.714,0.725,-10.639,0.514205,2.41053,0.004952,3.63411,385.224,-9999.0,1.238,-9999.0
200401011030,200401011100,-9999.0,3,62.738,0.767,-10.324,0.539852,2.46852,0.005396,3.95371,433.672,-9999.0,1.233,-9999.0
200401011100,200401011130,-9999.0,3,67.69,0.767,-10.324,0.566263,2.34676,0.005872,4.16633,467.748,-9999.0,1.23,-9999.0
200401011130,200401011200,-9999.0,3,70.485,0.767,-10.324,0.593317,2.37382,0.006377,4.28202,486.87,-9999.0,1.23,-9999.0
200401011200,200401011230,-9999.0,3,116.919,0.85,-9.8,0.621134,2.18446,0.006915,5.8423,490.711,-9999.0,1.222,-9999.0
200401011230,200401011300,-9999.0,3,114.246,0.885,-9.599,0.642408,2.26291,0.007339,5.76766,479.205,-9999.0,1.219,-9999.0
200401011300,200401011330,-9999.0,3,107.975,0.708,-4.144,0.664138,8.87681,0.007783,5.58636,452.549,-9999.0,1.301,-9999.0
200401011330,200401011400,-9999.0,3,98.214,1.045,-8.971,0.686261,8.94906,0.008247,5.28552,411.198,-9999.0,1.204,-9999.0
200401011400,200401011430,-9999.0,3,85.13,1.1,-8.798,0.708704,1.0577,0.00873,4.84218,355.861,-9999.0,1.2,-9999.0
200401011430,200401011500,-9999.0,3,68.946,1.19,-8.445,0.731604,1.0276,0.009235,4.21869,287.485,-9999.0,1.195,-9999.0
200401011500,200401011530,-9999.0,3,19.001,1.19,-8.445,0.754891,1.05089,0.009761,1.51733,207.238,-9999.0,1.195,-9999.0
200401011530,200401011600,-9999.0,3,10.819,1.19,-8.445,0.755321,1.05132,0.009771,0.909405,116.495,-9999.0,1.195,-9999.0
200401011600,200401011630,-9999.0,3,0.0,0.474,-3.164,0.755751,1.32225,0.009781,0.0,22.765,-9999.0,1.296,-9999.0
200401011630,200401011700,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.193,-9999.0
200401011700,200401011730,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.194,-9999.0
200401011730,200401011800,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.195,-9999.0
200401011800,200401011830,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.195,-9999.0
200401011830,200401011900,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.196,-9999.0
200401011900,200401011930,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.197,-9999.0
200401011930,200401012000,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.198,-9999.0
200401012000,200401012030,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.198,-9999.0
200401012030,200401012100,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.199,-9999.0
200401012100,200401012130,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.2,-9999.0
200401012130,200401012200,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.201,-9999.0
200401012200,200401012230,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.202,-9999.0
200401012230,200401012300,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.202,-9999.0
200401012300,200401012330,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.203,-9999.0
200401012330,200401020000,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.204,-9999.0
200401020000,200401020030,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.205,-9999.0
200401020030,200401020100,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.206,-9999.0
200401020100,200401020130,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.207,-9999.0
200401020130,200401020200,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.208,-9999.0
200401020200,200401020230,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.209,-9999.0
200401020230,200401020300,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.21,-9999.0
200401020300,200401020330,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.211,-9999.0
200401020330,200401020400,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.211,-9999.0
200401020400,200401020430,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.212,-9999.0
200401020430,200401020500,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.213,-9999.0
200401020500,200401020530,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.214,-9999.0
200401020530,200401020600,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.215,-9999.0
200401020600,200401020630,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.216,-9999.0
200401020630,200401020700,-9999.0,3,0.0,0.664,-11.91,0.20544,0.964406,0.000978,0.0,0.0,-9999.0,1.218,-9999.0
200401020700,200401020730,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.219,-9999.0
200401020730,200401020800,-9999.0,3,0.0,0.524,-3.557,0.431307,1.28731,0.003629,0.0,1.10203,-9999.0,1.259,-9999.0
200401020800,200401020830,-9999.0,3,8.423,0.557,-3.412,0.453984,1.62731,0.003973,0.719084,65.9354,-9999.0,1.255,-9999.0
200401020830,200401020900,-9999.0,3,20.289,0.615,-3.099,0.477335,1.65067,0.004341,1.60754,161.71,-9999.0,1.251,-9999.0
200401020900,200401020930,-9999.0,3,39.105,0.807,-1.381,0.50136,1.67469,0.004735,2.78121,247.79,-9999.0,1.25,-9999.0
200401020930,200401021000,-9999.0,3,50.828,0.475,-9.4,0.54027,2.2396,0.005404,3.39825,322.702,-9999.0,1.244,-9999.0
200401021000,200401021030,-9999.0,3,60.601,0.725,-10.639,0.580758,2.47709,0.00614,3.85879,385.163,-9999.0,1.238,-9999.0
200401021030,200401021100,-9999.0,3,68.258,0.767,-10.324,0.622876,2.29988,0.006949,4.19009,434.107,-9999.0,1.233,-9999.0
200401021100,200401021130,-9999.0,3,73.667,0.767,-10.324,0.666681,2.23001,0.007836,4.41012,468.694,-9999.0,1.23,-9999.0
200401021130,200401021200,-9999.0,3,76.736,0.767,-10.324,0.712032,2.27536,0.008803,4.53018,488.333,-9999.0,1.23,-9999.0
200401021200,200401021230,-9999.0,3,65.788,0.85,-9.8,0.75905,2.32238,0.009856,4.08585,492.688,-9999.0,1.222,-9999.0
200401021230,200401021300,-9999.0,3,64.32,0.885,-9.599,0.783008,2.40351,0.010413,4.02273,481.685,-9999.0,1.219,-9999.0
200401021300,200401021330,-9999.0,3,60.834,0.6,-8.109,0.80743,9.0201,0.010994,3.86924,455.512,-9999.0,1.301,-9999.0
200401021330,200401021400,-9999.0,3,55.389,1.045,-8.971,0.832168,8.84492,0.011596,3.61878,414.617,-9999.0,1.204,-9999.0
200401021400,200401021430,-9999.0,3,48.079,1.1,-8.798,0.857366,1.20637,0.012224,3.26029,359.699,-9999.0,1.2,-9999.0
200401021430,200401021500,-9999.0,3,39.03,1.19,-8.445,0.882873,1.17887,0.012874,2.77701,291.698,-9999.0,1.195,-9999.0
200401021500,200401021530,-9999.0,3,19.602,1.19,-8.445,0.908839,1.20484,0.013551,1.5596,211.778,-9999.0,1.195,-9999.0
200401021530,200401021600,-9999.0,3,11.291,1.19,-8.445,0.913099,1.2091,0.013663,0.946208,121.306,-9999.0,1.195,-9999.0
200401021600,200401021630,-9999.0,3,0.0,0.764,-7.176,0.917447,1.48395,0.013778,0.0,26.1944,-9999.0,1.296,-9999.0
200401021630,200401021700,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.22,-9999.0
200401021700,200401021730,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.221,-9999.0
200401021730,200401021800,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.222,-9999.0
200401021800,200401021830,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.223,-9999.0
200401021830,200401021900,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.224,-9999.0
200401021900,200401021930,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.225,-9999.0
200401021930,200401022000,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.226,-9999.0
200401022000,200401022030,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.227,-9999.0
200401022030,200401022100,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.228,-9999.0
200401022100,200401022130,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.229,-9999.0
200401022130,200401022200,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.23,-9999.0
200401022200,200401022230,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.231,-9999.0
200401022230,200401022300,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.232,-9999.0
200401022300,200401022330,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.233,-9999.0
200401022330,200401030000,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.234,-9999.0
200401030000,200401030030,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.235,-9999.0
200401030030,200401030100,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.236,-9999.0
200401030100,200401030130,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.238,-9999.0
200401030130,200401030200,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.239,-9999.0
200401030200,200401030230,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.24,-9999.0
200401030230,200401030300,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.241,-9999.0
200401030300,200401030330,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.242,-9999.0
200401030330,200401030400,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.243,-9999.0
200401030400,200401030430,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.244,-9999.0
200401030430,200401030500,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.245,-9999.0
200401030500,200401030530,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.246,-9999.0
200401030530,200401030600,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.247,-9999.0
200401030600,200401030630,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.248,-9999.0
200401030630,200401030700,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.249,-9999.0
200401030700,200401030730,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.25,-9999.0
200401030730,200401030800,-9999.0,3,0.0,0.64,-1.571,0.206574,1.06257,0.000988,0.0,1.37227,-9999.0,1.259,-9999.0
200401030800,200401030830,-9999.0,3,26.271,0.694,-1.337,0.201007,1.37434,0.000941,2.00868,67.6872,-9999.0,1.255,-9999.0
200401030830,200401030900,-9999.0,3,63.154,0.694,-1.337,0.195503,1.36883,0.000896,3.97196,163.524,-9999.0,1.251,-9999.0
200401030900,200401030930,-9999.0,3,144.21,0.92,0.687,0.190098,1.36343,0.000853,6.52534,249.66,-9999.0,1.25,-9999.0
200401030930,200401031000,-9999.0,3,187.437,0.475,-9.4,0.198715,1.89805,0.000922,7.37753,324.62,-9999.0,1.244,-9999.0
200401031000,200401031030,-9999.0,3,223.501,0.725,-10.639,0.207579,2.10391,0.000996,7.93541,387.123,-9999.0,1.238,-9999.0
200401031030,200401031100,-9999.0,3,251.788,0.767,-10.324,0.21669,1.89369,0.001075,8.30196,436.098,-9999.0,1.233,-9999.0
200401031100,200401031130,-9999.0,3,271.812,0.767,-10.324,0.226052,1.78938,0.001158,8.53134,470.707,-9999.0,1.23,-9999.0
200401031130,200401031200,-9999.0,3,283.231,0.767,-10.324,0.235665,1.79899,0.001247,8.65254,490.359,-9999.0,1.23,-9999.0
200401031200,200401031230,-9999.0,3,303.673,0.85,-9.8,0.245569,1.8089,0.001341,8.85409,494.718,-9999.0,1.222,-9999.0
200401031230,200401031300,-9999.0,3,297.06,0.885,-9.599,0.250598,1.8711,0.00139,8.79093,483.707,-9999.0,1.219,-9999.0
200401031300,200401031330,-9999.0,3,281.164,0.6,-8.109,0.255691,9.74183,0.00144,8.63109,457.517,-9999.0,1.268,-9999.0
200401031330,200401031400,-9999.0,3,256.258,1.045,-8.971,0.260848,9.47325,0.001492,8.35515,416.595,-9999.0,1.204,-9999.0
200401031400,200401031430,-9999.0,3,222.767,1.1,-8.798,0.26607,0.61507,0.001545,7.92514,361.642,-9999.0,1.2,-9999.0
200401031430,200401031500,-9999.0,3,181.263,1.19,-8.445,0.271355,0.567355,0.0016,7.26965,293.597,-9999.0,1.195,-9999.0
200401031500,200401031530,-9999.0,3,94.169,1.19,-8.445,0.276706,0.572706,0.001656,5.15365,213.624,-9999.0,1.195,-9999.0
200401031530,200401031600,-9999.0,3,54.874,1.19,-8.445,0.263412,0.559412,0.001518,3.59438,123.093,-9999.0,1.195,-9999.0
200401031600,200401031630,-9999.0,3,0.0,0.695,-8.18,0.250523,0.817023,0.001389,0.0,27.4494,-9999.0,1.271,-9999.0
200401031630,200401031700,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.251,-9999.0
200401031700,200401031730,-9999.0,3,0.0,0.664,-11.91,0.20544,1.06008,0.000978,0.0,0.0,-9999.0,1.251,-9999.0
200401031730,200401031800,-9999.0,3,0.0,0.664,-11.91,0.20544,1.07796,0.000978,0.0,0.0,-9999.0,1.252,-9999.0
200401031800,200401031830,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09929,0.000978,0.0,0.0,-9999.0,1.253,-9999.0
200401031830,200401031900,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09929,0.000978,0.0,0.0,-9999.0,1.253,-9999.0
200401031900,200401031930,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09929,0.000978,0.0,0.0,-9999.0,1.254,-9999.0
200401031930,200401032000,-9999.0,3,0.0,0.664,-11.91,0.20544,1.11132,0.000978,0.0,0.0,-9999.0,1.255,-9999.0
200401032000,200401032030,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12302,0.000978,0.0,0.0,-9999.0,1.256,-9999.0
200401032030,200401032100,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12302,0.000978,0.0,0.0,-9999.0,1.256,-9999.0
200401032100,200401032130,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12302,0.000978,0.0,0.0,-9999.0,1.257,-9999.0
200401032130,200401032200,-9999.0,3,0.0,0.664,-11.91,0.20544,1.1094,0.000978,0.0,0.0,-9999.0,1.258,-9999.0
200401032200,200401032230,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12462,0.000978,0.0,0.0,-9999.0,1.258,-9999.0
200401032230,200401032300,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12462,0.000978,0.0,0.0,-9999.0,1.259,-9999.0
200401032300,200401032330,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12462,0.000978,0.0,0.0,-9999.0,1.26,-9999.0
200401032330,200401040000,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.26,-9999.0
200401040000,200401040030,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.261,-9999.0
200401040030,200401040100,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.262,-9999.0
200401040100,200401040130,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.262,-9999.0
200401040130,200401040200,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.263,-9999.0
200401040200,200401040230,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.264,-9999.0
200401040230,200401040300,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.265,-9999.0
200401040300,200401040330,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.265,-9999.0
200401040330,200401040400,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.266,-9999.0
200401040400,200401040430,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.267,-9999.0
200401040430,200401040500,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.268,-9999.0
200401040500,200401040530,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.268,-9999.0
200401040530,200401040600,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.269,-9999.0
200401040600,200401040630,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.27,-9999.0
200401040630,200401040700,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.271,-9999.0
200401040700,200401040730,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.271,-9999.0
200401040730,200401040800,-9999.0,3,0.0,0.64,-1.571,0.067548,0.923548,0.000137,0.0,1.11373,-9999.0,1.28,-9999.0
200401040800,200401040830,-9999.0,3,17.683,0.694,-1.337,0.063073,1.2364,0.000121,1.42354,66.2457,-9999.0,1.279,-9999.0
200401040830,200401040900,-9999.0,3,42.367,0.694,-1.337,0.058811,1.23214,0.000107,2.96067,162.445,-9999.0,1.279,-9999.0
200401040900,200401040930,-9999.0,3,90.225,0.92,0.687,0.054756,1.22809,9.4e-05,5.02069,248.989,-9999.0,1.281,-9999.0
200401040930,200401041000,-9999.0,3,117.249,0.813,-2.411,0.064776,1.76411,0.000127,5.85141,324.396,-9999.0,1.28,-9999.0
200401041000,200401041030,-9999.0,3,139.813,0.725,-10.639,0.076033,1.97236,0.000169,6.42415,387.376,-9999.0,1.279,-9999.0
200401041030,200401041100,-9999.0,3,157.53,0.767,-10.324,0.088579,2.01725,0.000221,6.81392,436.851,-9999.0,1.278,-9999.0
200401041100,200401041130,-9999.0,3,170.097,0.767,-10.324,0.102457,1.88296,0.000286,7.06379,471.974,-9999.0,1.282,-9999.0
200401041130,200401041200,-9999.0,3,177.3,0.767,-10.324,0.117763,1.89826,0.000366,7.19822,492.146,-9999.0,1.283,-9999.0
200401041200,200401041230,-9999.0,3,184.125,0.85,-9.8,0.134535,1.69787,0.000463,7.32016,497.02,-9999.0,1.282,-9999.0
200401041230,200401041300,-9999.0,3,180.215,0.885,-9.599,0.140096,1.7606,0.000497,7.25093,486.513,-9999.0,1.286,-9999.0
200401041300,200401041330,-9999.0,3,170.697,0.708,-4.144,0.145834,8.3585,0.000534,7.07523,460.805,-9999.0,1.293,-9999.0
200401041330,200401041400,-9999.0,3,155.734,1.045,-8.971,0.151697,8.4145,0.000572,6.7765,420.337,-9999.0,1.285,-9999.0
200401041400,200401041430,-9999.0,3,135.583,1.1,-8.798,0.157741,0.506741,0.000613,6.3238,365.799,-9999.0,1.278,-9999.0
200401041430,200401041500,-9999.0,3,110.588,1.19,-8.445,0.163912,0.459912,0.000656,5.66298,298.126,-9999.0,1.284,-9999.0
200401041500,200401041530,-9999.0,3,43.181,1.19,-8.445,0.170267,0.466267,0.000702,3.00448,218.475,-9999.0,1.285,-9999.0
200401041530,200401041600,-9999.0,3,25.454,1.19,-8.445,0.160622,0.456622,0.000633,1.95556,128.21,-9999.0,1.285,-9999.0
200401041600,200401041630,-9999.0,3,0.0,0.474,-3.164,0.151314,0.717814,0.00057,0.0,31.4387,-9999.0,1.293,-9999.0
200401041630,200401041700,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09758,0.000978,0.0,0.0,-9999.0,1.272,-9999.0
200401041700,200401041730,-9999.0,3,0.0,0.664,-11.91,0.20544,1.09504,0.000978,0.0,0.0,-9999.0,1.272,-9999.0
200401041730,200401041800,-9999.0,3,0.0,0.664,-11.91,0.20544,1.08034,0.000978,0.0,0.0,-9999.0,1.273,-9999.0
200401041800,200401041830,-9999.0,3,0.0,0.664,-11.91,0.20544,1.08411,0.000978,0.0,0.0,-9999.0,1.273,-9999.0
200401041830,200401041900,-9999.0,3,0.0,0.664,-11.91,0.20544,1.08411,0.000978,0.0,0.0,-9999.0,1.274,-9999.0
200401041900,200401041930,-9999.0,3,0.0,0.664,-11.91,0.20544,1.08411,0.000978,0.0,0.0,-9999.0,1.274,-9999.0
200401041930,200401042000,-9999.0,3,0.0,0.664,-11.91,0.20544,1.08411,0.000978,0.0,0.0,-9999.0,1.275,-9999.0
200401042000,200401042030,-9999.0,3,0.0,0.664,-11.91,0.20544,1.08411,0.000978,0.0,0.0,-9999.0,1.275,-9999.0
200401042030,200401042100,-9999.0,3,0.0,0.664,-11.91,0.20544,1.08411,0.000978,0.0,0.0,-9999.0,1.276,-9999.0
200401042100,200401042130,-9999.0,3,0.0,0.664,-11.91,0.20544,1.0865,0.000978,0.0,0.0,-9999.0,1.276,-9999.0
200401042130,200401042200,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12619,0.000978,0.0,0.0,-9999.0,1.277,-9999.0
200401042200,200401042230,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12619,0.000978,0.0,0.0,-9999.0,1.277,-9999.0
200401042230,200401042300,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12619,0.000978,0.0,0.0,-9999.0,1.277,-9999.0
200401042300,200401042330,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12619,0.000978,0.0,0.0,-9999.0,1.278,-9999.0
200401042330,200401050000,-9999.0,3,0.0,0.664,-11.91,0.20544,1.12619,0.000978,0.0,0.0,-9999.0,1.278,-9999.0
200401050000,200401050030,-9999.0,3,0.0,0.664,-11.91,0.20544,1.17657,0.000978,0.0,0.0,-9999.0,1.279,-9999.0
200401050030,200401050100,-9999.0,3,0.0,0.664,-11.91,0.20544,1.2248,0.000978,0.0,0.0,-9999.0,1.279,-9999.0
200401050100,200401050130,-9999.0,3,0.0,0.664,-11.91,0.20544,1.31398,0.000978,0.0,0.0,-9999.0,1.279,-9999.0
200401050130,200401050200,-9999.0,3,0.0,0.664,-11.91,0.20544,1.37027,0.000978,0.0,0.0,-9999.0,1.28,-9999.0
